"srno","dname","dcode","bname","bcode","anc1_pct","inst_deliv_pct","lbw_lt2500_pct","nqas_pct","htn_scr_pct","diab_scr_pct","tb_succ_pct","hlt_cmp","hlt_rk","icds_preg_pct","icds_child_pct","meas_awc_pct","sam_pct","mam_pct","awc_toil_pct","awc_wat_pct","ntr_cmp","ntr_rk","fhtc_pct","odfplus_pct","bn_panch_pct","livebn_pct","pmayg_pct","infra_cmp","infra_rk","shg_hh_pct","shg_rev_pct","shg_bank_pct","pmdsa_pct","soc_cmp","soc_rk","trans_upsec_b_pct","trans_upsec_g_pct","trans_sechigh_b_pct","trans_sechigh_g_pct","ptr30_pct","girls_toil_pct","cwsn_teach_pct","x_b60_pct","x_g60_pct","xii_b60_pct","xii_g60_pct","edu_cmp","edu_rk","fpo_pct","soilhc_pct","pmkisan_pct","bovfmd_pct","gw_ext_pct","agr_cmp","agr_rk","total_cmp","total_rk"
"17","Solapur","496","Sangola","4586","93.8","100","92.99","0","9.21","9.42","88.46","13.12","27","79.44","67.85","99.8","99.82","98.55","60.96","87.15","83.42","19","99.92","98.06","100","1.32","53.8","37.03","14","44.94","98.83","85.79","9.21","43.28","13","97.89","98.07","57.7","53.97","81.5","79.57","18.84","37.56","59.19","27.12","48.69","53.71","14","100","100","100","38.5","25.55","62.89","27","42.54","21"
"18","Jalna","479","Badnapur","4412","97.04","100","78.28","0","32.37","51.01","84.68","19.47","18","76.93","72.86","98.6","99.6","97.47","75.65","61.66","82.05","22","99.24","100","100","1.27","25.24","31.66","17","33.31","95.85","41.47","9.09","33.12","19","92.45","84.79","43.58","44.79","84.62","62.44","27.15","36.7","57.41","78.46","86.98","59.24","9","100","100","100","100","35.17","81.14","24","44.77","15"
"19","Palghar","665","Dahanu","4591","95.85","99.8","61.75","1.67","32.96","37.6","100","38.36","4","71.47","53.58","99.28","99.82","98.56","95.17","99.19","86.18","15","64.21","98.28","91.76","0","35.62","11.56","23","88.28","92.23","83.28","21.18","61.56","1","74.35","72.75","80.25","71.25","56.52","78.45","15.88","11.51","16.26","9.89","17.13","33.95","23","100","100","100","100","68.46","92.7","8","44.15","17"
"20","Nandurbar","486","Navapur","4476","97.16","100","72.15","0","28.07","28.08","85.39","17.34","24","78.42","72.72","99.85","99.46","94.95","82.77","98.31","88.86","9","74.02","86.08","100","4.39","47.94","42.22","8","100","92.41","42.31","23.21","54.89","4","98.49","97.96","61.69","64.83","82.01","81.71","15.63","44.91","66.63","38.41","57.6","58.36","10","100","100","100","100","64.39","91.57","12","51.69","5"
"21","Amravati","468","Chikhaldara","4304","96.73","93.46","89.62","0","67.01","83.57","95.45","23.8","9","86.6","79.28","98.4","99.16","95.76","66.53","91.13","87.38","13","93.82","98.03","96.3","36.54","65.65","73.36","1","12.73","95.45","33.78","39.62","35.71","18","98.16","100","96.82","100","77.95","77.78","29.95","35.89","45.86","59.43","61.75","66.04","2","100","100","100","100","37.81","82.32","23","55.63","2"
"22","Palghar","665","Jawhar","4592","96.56","99.57","77.43","11.54","71.28","72.3","78.57","61.89","1","68.12","59.92","98.33","99.42","95.05","61.32","83.67","79.15","24","68.73","100","98","6.12","30.24","41.6","9","31.77","100","6.69","10","21.47","25","88.79","88.08","52.36","60.8","75","80.16","15.95","21.01","25.46","17","24.18","40.82","20","100","100","100","100","88.88","97.67","1","50.93","6"
"23","Jalna","479","Partur","4418","99.54","100","100","0","21.05","15.27","84.62","16.02","25","77.29","67.34","96.88","99.3","96.68","60.23","75.44","80.55","23","100","100","100","2.47","30.23","37.55","13","27.52","94.01","92.81","16.05","44.31","12","91.21","87.83","66.85","74.49","79.75","62.94","18.82","47.64","69.82","74.22","81.93","64.19","6","100","100","100","100","68.39","92.68","9","48.35","9"
"24","Amravati","468","Dharni","4307","96.1","97.61","87.44","0","75.63","69.88","84","23.22","11","81.62","70.74","98.36","99.06","95.34","76.5","96.15","87.56","12","93.5","99.33","100","24.19","59.29","66.82","2","24.71","83.73","40.97","48.39","45","9","79.76","72.82","96.02","85.65","58.73","59.7","35.82","43.2","47.53","39.14","53.12","58.13","11","100","100","100","100","48.49","86.52","17","55.97","1"
"25","Nandurbar","486","Taloda","4478","88.69","100","88.57","0","33.27","28.94","96.15","18.45","22","82.66","79.84","99.9","99.25","95","71.84","84.9","87.06","14","71.2","100","100","4.48","44.16","42.63","7","40.13","92.76","22.91","58.46","47.25","8","91.19","92.39","51.78","31.96","69.09","54.44","18.24","31.94","50.61","21.91","41.28","44.63","19","100","100","100","74.54","52.05","82.75","20","47.81","10"
"26","Nandurbar","486","Akkalkuva","4473","80.9","98.27","78.63","0","42.51","38.26","80","18.75","21","82.05","72.76","99.81","99.09","93.57","63.17","80.04","83.34","20","44.88","96.35","100","5.19","50.5","40.82","10","55.54","89.57","39.8","37.97","52.36","5","90.93","93.04","57.02","54.91","78.7","59.85","17.82","50.94","58.59","41.01","51.07","54.99","12","100","100","100","100","61.33","90.68","13","50.53","7"
"27","Nandurbar","486","Akarani","4474","68.47","95.13","70.54","0","18","15.24","91.77","14.19","26","80.04","72.32","99.26","98.44","92.64","37.15","82.19","76.97","26","33.64","89.38","100","4","55.42","36.71","15","35.88","93.11","56.52","55.77","56.97","2","85.48","91.23","20.78","29.73","78.81","68.08","18.89","39.46","44.31","6.48","17.53","35.01","22","100","100","100","100","72.11","93.67","5","44.23","16"
